date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-03-24,259.09,269.0,258.62,260.8,17942151.0,4728182217.0,3795786270.0,0.004726860187520516
2021-03-25,256.94,257.89,252.0,255.98,18625855.0,4750886354.0,3795786270.0,0.004906982025623903
2021-03-26,258.0,267.18,255.82,265.95,23020269.0,6054732218.0,3795786270.0,0.006064690517993786
2021-03-29,267.0,279.95,265.99,272.09,28199481.0,7712653716.0,3795786270.0,0.007429154065621298
2021-03-30,270.5,278.52,270.5,273.46,16870779.0,4624076064.0,3795786270.0,0.004444607203871887
2021-03-31,270.7,270.7,265.01,267.98,13411104.0,3583946108.0,3795786270.0,0.0035331557274429996
2021-04-01,270.0,273.89,267.01,273.08,12114212.0,3280567358.0,3795786270.0,0.0031914894934271416
2021-04-02,277.01,285.0,275.0,284.56,22962623.0,6443304988.0,3795786270.0,0.006049503677666235
2021-04-06,285.95,288.0,282.0,284.76,15550845.0,4431624296.0,3795786270.0,0.004096870554305472
2021-04-07,283.01,283.65,268.8,270.85,24493627.0,6674234724.0,3795786270.0,0.0064528467246919045
2021-04-08,265.0,274.85,264.06,273.08,16211426.0,4396674335.0,3795786270.0,0.004270900637406015
2021-04-09,271.0,272.5,265.0,265.3,14611556.0,3895892302.0,3795786270.0,0.0038494148407360144
2021-04-12,265.2,267.36,260.0,260.99,13323255.0,3495254788.0,3795786270.0,0.003510011905912711
2021-04-13,261.26,268.22,261.26,262.9,13875729.0,3670699723.0,3795786270.0,0.00365556119681101
2021-04-14,262.91,267.61,261.25,263.78,14817752.0,3916715200.0,3795786270.0,0.0039037371827576584
2021-04-15,261.31,262.99,249.32,255.8,28595938.0,7267459255.0,3795786270.0,0.007533600673464684
2021-04-16,255.8,263.63,255.8,261.8,18754302.0,4877110716.0,3795786270.0,0.004940821391400417
2021-04-19,260.0,268.21,253.5,265.67,18815579.0,4960854542.0,3795786270.0,0.004956964818780484
2021-04-20,265.0,273.79,263.01,267.75,19914658.0,5367602760.0,3795786270.0,0.00524651721236138
2021-04-21,265.0,272.97,263.58,270.85,15923160.0,4295280589.0,3795786270.0,0.004194956951567244
2021-04-22,270.9,274.0,269.0,271.19,11627423.0,3157592142.0,3795786270.0,0.003063244917633363
2021-04-23,272.25,281.0,272.25,280.0,20783326.0,5769545850.0,3795786270.0,0.005475367821486957
2021-04-26,283.0,285.89,274.86,275.0,20390370.0,5710005243.0,3795786270.0,0.005371843552192415
2021-04-27,277.0,281.82,272.34,281.82,14231452.0,3950995457.0,3795786270.0,0.003749276431204331
2021-04-28,275.0,285.6,273.8,285.6,22027859.0,6211307911.0,3795786270.0,0.005803240075474534
2021-04-29,287.06,291.0,281.31,289.5,20693602.0,5941444369.0,3795786270.0,0.00545173003115373
2021-04-30,287.0,289.3,283.68,285.0,15803059.0,4521364969.0,3795786270.0,0.004163316339726367
2021-05-06,282.0,285.8,275.8,276.44,16866057.0,4713100400.0,3795786270.0,0.0044433631928385686
2021-05-07,280.01,280.23,271.28,272.1,12500753.0,3441009132.0,3795786270.0,0.0032933237307905643
2021-05-10,270.58,274.0,261.4,264.0,19524824.0,5183389746.0,3795786270.0,0.005143815434054984
2021-05-11,262.22,275.46,261.99,275.45,19232636.0,5208651090.0,3795786270.0,0.005066838497205481
2021-05-12,274.2,279.58,274.0,277.51,12106344.0,3356761371.0,3795786270.0,0.0031894166686050004
2021-05-13,274.19,278.55,272.5,276.0,9707922.0,2670400820.0,3795786270.0,0.0025575523249890464
2021-05-14,277.96,288.4,275.18,287.0,21808451.0,6208023603.0,3795786270.0,0.005745437031679869
2021-05-17,288.22,304.67,288.22,297.19,28061495.0,8373250452.0,3795786270.0,0.007392801650025463
2021-05-18,298.01,300.0,294.3,299.5,14728692.0,4370179796.0,3795786270.0,0.0038802743232431787
2021-05-19,298.0,309.1,296.03,302.79,16700066.0,5082549122.0,3795786270.0,0.004399632859202054
2021-05-20,304.7,307.98,301.56,303.51,14023985.0,4268328787.0,3795786270.0,0.0036946192441968027
2021-05-21,305.0,305.69,295.06,296.6,17262089.0,5161569643.0,3795786270.0,0.004547697834419956
2021-05-24,300.0,305.2,295.35,305.01,15708894.0,4729942081.0,3795786270.0,0.004138508567817755
